year,city,month,application
2022,Nagano,5,866
2022,Gifu,5,1038
2022,Shizuoka,5,2199
2022,Aichi,5,6155
2022,Mie,5,850
2022,Shiga,5,987
2022,Kyoto,5,2292
2022,Osaka,5,7874
2022,Hyogo,5,4143
2022,Nara,5,929
2022,Wakayama,5,347
2022,Tottori,5,116
2022,Shimane,5,155
2022,Okayama,5,741
2022,Hiroshima,5,1412
2022,Yamaguchi,5,489
2022,Tokushima,5,242
2022,Kagawa,5,357
2022,Ehime,5,409
2022,Kochi,5,242
2022,Fukuoka,5,3185
2022,Saga,5,307
2022,Nagasaki,5,602
2022,Kumamoto,5,661
2022,Oita,5,330
2022,Miyazaki,5,285
2022,Kagoshima,5,434
2022,Okinawa,5,966
2022,Hokkaido,4,1656
2022,Aomori,4,182
2022,Iwate,4,174
2022,Miyagi,4,671
2022,Akita,4,161
2022,Yamagata,4,190
2022,Fukushima,4,413
2022,Ibaraki,4,1285
2022,Tochigi,4,756
2022,Gunma,4,624
2022,Saitama,4,4286
2022,Chiba,4,4609
2022,Tokyo,4,21153
2022,Kanagawa,4,8972
2022,Niigata,4,470
2022,Toyama,4,269
2022,Ishikawa,4,359
2022,Fukui,4,186
2022,Yamanashi,4,283
2022,Nagano,4,669
2022,Gifu,4,764
2022,Shizuoka,4,1664
2022,Aichi,4,4464
2022,Mie,4,676
2022,Shiga,4,751
2022,Kyoto,4,1747
2022,Osaka,4,5792
2022,Hyogo,4,3590
2022,Nara,4,729
2022,Wakayama,4,256
2022,Tottori,4,126
2022,Shimane,4,152
2022,Okayama,4,553
2022,Hiroshima,4,1067
2022,Yamaguchi,4,417
2022,Tokushima,4,175
2022,Kagawa,4,278
2022,Ehime,4,359
2022,Kochi,4,182
2022,Fukuoka,4,2296
2022,Saga,4,182
2022,Nagasaki,4,396
2022,Kumamoto,4,568
2022,Oita,4,280
2022,Miyazaki,4,247
2022,Kagoshima,4,384
2022,Okinawa,4,942
2022,Hokkaido,3,1586
2022,Aomori,3,255
2022,Iwate,3,234
2022,Miyagi,3,726
2022,Akita,3,167
2022,Yamagata,3,253
2022,Fukushima,3,441
2022,Ibaraki,3,1221
2022,Tochigi,3,769
2022,Gunma,3,604
2022,Saitama,3,4118
2022,Chiba,3,4635
2022,Tokyo,3,19709
2022,Kanagawa,3,8728
2022,Niigata,3,487
2022,Toyama,3,337
2022,Ishikawa,3,421
2022,Fukui,3,246
2022,Yamanashi,3,356
2022,Nagano,3,775
2022,Gifu,3,752
2022,Shizuoka,3,1685
2022,Aichi,3,4762
2022,Mie,3,729
2022,Shiga,3,742
2022,Kyoto,3,1680
2022,Osaka,3,5638
2022,Hyogo,3,3107
2022,Nara,3,668
2022,Wakayama,3,229
2022,Tottori,3,120
2022,Shimane,3,127
2022,Okayama,3,662
2022,Hiroshima,3,1123
2022,Yamaguchi,3,383
2022,Tokushima,3,187
2022,Kagawa,3,288
2022,Ehime,3,332
2022,Kochi,3,162
2022,Fukuoka,3,2257
2022,Saga,3,195
2022,Nagasaki,3,432
2022,Kumamoto,3,569
2022,Oita,3,316
2022,Miyazaki,3,297
2022,Kagoshima,3,362
2022,Okinawa,3,950
2022,Hokkaido,2,761
2022,Aomori,2,147
2022,Iwate,2,137
2022,Miyagi,2,404
2022,Akita,2,64
2022,Yamagata,2,127
2022,Fukushima,2,278
2022,Ibaraki,2,673
2022,Tochigi,2,486
2022,Gunma,2,385
2022,Saitama,2,2495
2022,Chiba,2,2532
