year,city,age_group,application
2021,Shimane,40-49,126
2021,Shimane,50-59,120
2021,Shimane,60-69,141
2021,Shimane,70-79,58
2021,Shimane,over_80,8
2021,Shimane,under_19,150
2021,Shiga,20-29,794
2021,Shiga,30-39,679
2021,Shiga,40-49,858
2021,Shiga,50-59,768
2021,Shiga,60-69,590
2021,Shiga,70-79,342
2021,Shiga,over_80,46
2021,Shiga,under_19,783
2021,Saitama,20-29,4951
2021,Saitama,30-39,3996
2021,Saitama,40-49,4445
2021,Saitama,50-59,4418
2021,Saitama,60-69,3739
2021,Saitama,70-79,2289
2021,Saitama,over_80,375
2021,Saitama,under_19,4819
2021,Saga,20-29,218
2021,Saga,30-39,179
2021,Saga,40-49,171
2021,Saga,50-59,176
2021,Saga,60-69,197
2021,Saga,70-79,109
2021,Saga,over_80,19
2021,Saga,under_19,259
2021,Osaka,20-29,7396
2021,Osaka,30-39,5781
2021,Osaka,40-49,6336
2021,Osaka,50-59,6447
2021,Osaka,60-69,4994
2021,Osaka,70-79,3087
2021,Osaka,over_80,528
2021,Osaka,under_19,5981
2021,Okinawa,20-29,1164
2021,Okinawa,30-39,804
2021,Okinawa,40-49,865
2021,Okinawa,50-59,776
2021,Okinawa,60-69,676
2021,Okinawa,70-79,381
2021,Okinawa,over_80,77
2021,Okinawa,under_19,1668
2021,Okayama,20-29,660
2021,Okayama,30-39,557
2021,Okayama,40-49,616
2021,Okayama,50-59,624
2021,Okayama,60-69,545
2021,Okayama,70-79,328
2021,Okayama,over_80,61
2021,Okayama,under_19,592
2021,Oita,20-29,350
2021,Oita,30-39,250
2021,Oita,40-49,273
2021,Oita,50-59,320
2021,Oita,60-69,269
2021,Oita,70-79,179
2021,Oita,over_80,39
2021,Oita,under_19,318
2021,Niigata,20-29,532
2021,Niigata,30-39,420
2021,Niigata,40-49,480
2021,Niigata,50-59,503
2021,Niigata,60-69,471
2021,Niigata,70-79,263
2021,Niigata,over_80,39
2021,Niigata,under_19,459
2021,Nara,20-29,778
2021,Nara,30-39,507
2021,Nara,40-49,710
2021,Nara,50-59,734
2021,Nara,60-69,742
2021,Nara,70-79,477
2021,Nara,over_80,77
2021,Nara,under_19,646
2021,Nagasaki,20-29,455
2021,Nagasaki,30-39,315
